Date,Jumlah Bidan,Jumlah Perawat,Jumlah Dokter Umum,Jumlah Ahli Gizi,AVLOS (Day),BOR (%),GDR (/K),Layanan OBGYN,NDR (/K),TOI (Day),Bayi BBLR,Rasio_BBLR,Persentase_ASI,Rasio_AKI,Rasio_AKB,days_in_month,HI,BTO_month,IdleShare,EDR,ASI_gap_target,BOR_status,TOI_status,Capacity_alert,BOR (%)_fc_lower,BOR (%)_fc_upper,AVLOS (Day)_fc_lower,AVLOS (Day)_fc_upper,NDR (/K)_fc_lower,NDR (/K)_fc_upper,GDR (/K)_fc_lower,GDR (/K)_fc_upper,TOI (Day)_fc_lower,TOI (Day)_fc_upper,Rasio_AKI_fc_lower,Rasio_AKI_fc_upper,Rasio_AKB_fc_lower,Rasio_AKB_fc_upper,Rasio_BBLR_fc_lower,Rasio_BBLR_fc_upper
2023-02-01,,,,,3.0400000000000005,72.38,36.7,602.0,18.39333333333333,1.2,47.0,0.0949494949494949,0.7268000000000001,1.4,1.69,28.0,4.24,6.60377358490566,0.2762,18.306666666666672,-79.2732,optimal,sehat,0.0,,,,,,,,,,,,,,,,
2023-03-01,,,,,2.9433333333333334,74.73,37.11000000000001,734.0,19.206666666666667,1.1,47.0,0.0949494949494949,0.7268000000000001,1.4,1.69,31.0,4.043333333333333,7.66694146743611,0.2526999999999999,17.90333333333334,-79.2732,optimal,sehat,0.0,,,,,,,,,,,,,,,,
2023-04-01,,,,,2.686666666666667,63.06666666666666,38.5,662.0,21.49,2.0733333333333337,37.0,0.0747474747474747,0.7268000000000001,1.4,1.69,30.0,4.760000000000001,6.30252100840336,0.3693333333333334,17.01,-79.2732,optimal,sehat,0.0,,,,,,,,,,,,,,,,
2023-05-01,,,,,3.1666666666666665,75.89333333333333,32.65,776.0,19.4,1.13,37.0,0.0747474747474747,0.7268000000000001,1.4,1.69,31.0,4.296666666666667,7.21489526764934,0.24106666666666665,13.25,-79.2732,optimal,sehat,0.0,,,,,,,,,,,,,,,,
2023-06-01,,,,,2.733333333333333,69.43333333333334,41.02333333333333,614.0,22.386666666666667,1.7366666666666666,37.0,0.0747474747474747,0.7268000000000001,1.4,1.69,30.0,4.47,6.7114093959731544,0.30566666666666664,18.636666666666667,-79.2732,optimal,sehat,0.0,,,,,,,,,,,,,,,,
2023-07-01,,,,,2.83,68.05,36.803333333333335,662.0,18.90333333333333,1.59,35.0,0.0707070707070707,0.7268000000000001,1.4,1.69,31.0,4.42,7.013574660633484,0.3195,17.900000000000006,-79.2732,optimal,sehat,0.0,,,,,,,,,,,,,,,,
2023-08-01,,,,,2.813333333333333,73.59,37.43,660.0,19.446666666666665,1.3166666666666669,35.0,0.0707070707070707,0.7268000000000001,1.4,1.69,31.0,4.13,7.506053268765133,0.2641,17.983333333333334,-79.2732,optimal,sehat,0.0,,,,,,,,,,,,,,,,
2023-09-01,,,,,2.766666666666667,77.00666666666666,44.27333333333333,740.0,26.796666666666663,1.1666666666666667,35.0,0.0707070707070707,0.7268000000000001,1.4,1.69,30.0,3.9333333333333336,7.627118644067796,0.22993333333333343,17.47666666666667,-79.2732,optimal,sehat,0.0,,,,,,,,,,,,,,,,
2023-10-01,,,,,2.9033333333333338,82.04666666666667,38.89666666666667,800.0,20.596666666666668,0.7133333333333334,181.0,0.3656565656565657,0.7268000000000001,1.4,1.69,31.0,3.616666666666667,8.571428571428571,0.17953333333333332,18.3,-79.2732,saturated,cepat,1.0,,,,,,,,,,,,,,,,
2023-11-01,,,,,2.8000000000000003,81.73666666666666,34.35333333333333,786.0,17.826666666666664,0.5133333333333333,181.0,0.3656565656565657,0.7268000000000001,1.4,1.69,30.0,3.3133333333333335,9.054325955734406,0.18263333333333331,16.526666666666667,-79.2732,saturated,cepat,1.0,,,,,,,,,,,,,,,,
